customerID,gender,SeniorCitizen,Partner,PhoneService,InternetService,Contract,MonthlyCharges,tenure,Churn
0076-LVEPS,Male,0,No,No,DSL,Month-to-month,45.0,29,No
0078-XZMHT,Male,0,Yes,Yes,DSL,Two year,85.15,72,No
0080-EMYVY,Female,0,No,Yes,DSL,One year,51.45,14,No
0080-OROZO,Female,0,No,Yes,Fiber optic,One year,99.25,35,No
0082-LDZUE,Male,0,No,Yes,DSL,Month-to-month,44.3,1,No
0082-OQIQY,Male,0,No,Yes,Fiber optic,Month-to-month,94.2,29,No
0083-PIVIK,Male,0,No,Yes,DSL,One year,81.25,64,No
0089-IIQKO,Female,0,Yes,Yes,Fiber optic,Month-to-month,99.95,39,No
0093-EXYQL,Female,1,No,Yes,Fiber optic,Month-to-month,91.55,40,No
0093-XWZFY,Male,0,No,Yes,Fiber optic,Month-to-month,104.5,40,Yes
0094-OIFMO,Female,1,No,Yes,Fiber optic,Month-to-month,95.0,11,Yes
0096-BXERS,Female,0,Yes,Yes,DSL,Month-to-month,50.35,6,No
0096-FCPUF,Male,0,No,Yes,DSL,Month-to-month,64.5,30,No
0098-BOWSO,Male,0,No,Yes,No,Month-to-month,19.4,27,No
0100-DUVFC,Male,1,Yes,Yes,Fiber optic,One year,104.8,70,No
0103-CSITQ,Female,0,Yes,Yes,Fiber optic,One year,109.4,57,No
0104-PPXDV,Male,0,Yes,Yes,DSL,One year,50.3,58,No
0106-GHRQR,Male,0,No,Yes,DSL,Month-to-month,71.4,16,No
0106-UGRDO,Female,0,Yes,Yes,Fiber optic,Two year,116.0,69,No
0107-WESLM,Male,0,No,Yes,No,Month-to-month,19.85,1,Yes
0107-YHINA,Male,0,No,Yes,Fiber optic,Month-to-month,99.75,1,Yes
0111-KLBQG,Male,1,Yes,Yes,Fiber optic,Month-to-month,93.95,32,No
0112-QAWRZ,Male,0,Yes,Yes,Fiber optic,Month-to-month,90.8,16,No
0112-QWPNC,Male,0,Yes,Yes,DSL,One year,84.35,49,Yes
0114-IGABW,Female,0,Yes,No,DSL,Two year,58.25,71,No
0114-PEGZZ,Female,0,No,Yes,Fiber optic,Month-to-month,107.55,33,No
0114-RSRRW,Female,0,Yes,Yes,No,Month-to-month,19.95,10,No
0115-TFERT,Male,0,Yes,Yes,Fiber optic,Month-to-month,111.2,21,Yes
0117-LFRMW,Male,0,Yes,No,DSL,Month-to-month,40.2,37,Yes
0118-JPNOY,Female,1,No,Yes,Fiber optic,Month-to-month,85.8,26,No
0121-SNYRK,Male,0,No,No,DSL,One year,35.4,50,No
0122-OAHPZ,Female,0,No,Yes,Fiber optic,Month-to-month,73.85,7,Yes
0123-CRBRT,Female,0,Yes,Yes,DSL,Two year,88.1,61,No
0125-LZQXK,Male,0,No,Yes,Fiber optic,Month-to-month,101.35,15,Yes
0128-MKWSG,Female,0,No,No,DSL,Month-to-month,45.8,26,No
0129-KPTWJ,Male,0,Yes,Yes,Fiber optic,Month-to-month,94.65,72,No
0129-QMPDR,Male,0,Yes,Yes,No,One year,20.5,44,No
0130-SXOUN,Male,0,No,Yes,Fiber optic,Month-to-month,89.4,66,No
0133-BMFZO,Female,0,No,Yes,Fiber optic,Month-to-month,86.25,2,Yes
0134-XWXCE,Female,1,No,Yes,DSL,One year,74.85,44,No
0135-NMXAP,Female,0,No,Yes,Fiber optic,Month-to-month,89.75,12,Yes
0136-IFMYD,Male,1,Yes,Yes,Fiber optic,Two year,109.95,69,No
0137-OCGAB,Female,0,No,Yes,Fiber optic,Month-to-month,80.2,1,Yes
0137-UDEUO,Female,0,No,Yes,No,Month-to-month,19.85,3,Yes
0139-IVFJG,Female,0,Yes,Yes,Fiber optic,Month-to-month,90.35,2,No
0141-YEAYS,Female,1,No,Yes,Fiber optic,Month-to-month,86.45,27,No
0142-GVYSN,Male,0,No,Yes,No,Month-to-month,20.3,26,No
0147-ESWWR,Female,1,Yes,Yes,Fiber optic,Month-to-month,101.25,39,No
0148-DCDOS,Male,0,No,Yes,Fiber optic,Month-to-month,94.7,25,Yes
0151-ONTOV,Female,0,No,Yes,Fiber optic,Month-to-month,70.9,1,Yes
0156-FVPTA,Male,0,Yes,Yes,DSL,Month-to-month,54.2,22,Yes
0164-APGRB,Female,0,No,Yes,Fiber optic,Two year,114.9,72,No
0164-XAIRP,Female,0,No,Yes,No,Two year,19.55,24,No
0168-XZKBB,Female,0,Yes,Yes,Fiber optic,Month-to-month,86.85,19,No
0174-QRVVY,Male,0,Yes,Yes,No,Two year,25.35,71,No
0177-PXBAT,Male,1,Yes,Yes,Fiber optic,Month-to-month,109.9,33,No
0178-CIIKR,Female,0,No,Yes,No,Month-to-month,19.95,3,No
0178-SZBHO,Male,0,Yes,Yes,Fiber optic,Month-to-month,87.2,47,No
0181-RITDD,Male,0,Yes,Yes,Fiber optic,Two year,108.15,62,No
0186-CAERR,Male,0,No,Yes,Fiber optic,One year,116.3,71,No
0187-QSXOE,Male,1,Yes,Yes,Fiber optic,Month-to-month,89.0,7,No
0187-WZNAB,Female,0,Yes,Yes,Fiber optic,Month-to-month,74.4,27,No
0188-GWFLE,Male,0,No,Yes,No,Month-to-month,20.05,2,No
0191-EQUUH,Female,0,No,No,DSL,Two year,35.05,25,No
0191-ZHSKZ,Male,1,No,Yes,DSL,Month-to-month,74.75,30,No
0193-ESZXP,Female,1,Yes,Yes,Fiber optic,One year,105.5,58,Yes
0195-IESCP,Male,0,Yes,Yes,Fiber optic,Month-to-month,85.25,10,Yes
0196-JTUQI,Female,0,No,Yes,Fiber optic,Month-to-month,75.2,9,No
0196-VULGZ,Female,1,Yes,Yes,Fiber optic,Month-to-month,84.35,6,Yes
0197-PNKNK,Female,0,Yes,Yes,Fiber optic,One year,84.45,69,No
0201-MIBOL,Female,1,No,Yes,Fiber optic,Two year,102.4,66,No
0201-OAMXR,Female,0,No,Yes,Fiber optic,One year,115.55,70,Yes
0203-HHYIJ,Male,0,No,Yes,No,One year,25.3,25,Yes
0206-OYVOC,Female,0,Yes,Yes,No,Two year,19.25,46,No
0206-TBWLC,Female,0,Yes,Yes,Fiber optic,One year,114.65,54,No
0207-MDKNV,Female,0,No,Yes,Fiber optic,Month-to-month,105.1,15,Yes
0208-BPQEJ,Female,0,Yes,Yes,No,Month-to-month,19.4,12,No
0212-ISBBF,Female,0,No,No,DSL,Month-to-month,50.35,22,No
0214-JHPFW,Female,0,Yes,No,DSL,Two year,57.8,70,No
0215-BQKGS,Male,0,No,Yes,Fiber optic,Month-to-month,84.3,30,No
0218-QNVAS,Male,0,Yes,Yes,Fiber optic,One year,100.55,71,No
0219-QAERP,Male,0,Yes,Yes,No,One year,19.8,30,No
0219-YTZUE,Male,0,Yes,Yes,Fiber optic,Month-to-month,84.8,4,Yes
0220-EBGCE,Male,0,No,Yes,Fiber optic,Month-to-month,85.85,2,Yes
0221-NAUXK,Male,0,No,Yes,No,One year,19.95,10,No
0221-WMXNQ,Male,1,No,Yes,Fiber optic,Month-to-month,75.35,4,No
0222-CNVPT,Male,1,No,No,DSL,Month-to-month,48.8,52,No
0224-HJAPT,Male,0,No,Yes,DSL,Month-to-month,47.15,5,Yes
0224-NIJLP,Male,0,Yes,Yes,No,Two year,20.15,8,No
0224-RLWWD,Female,1,No,Yes,DSL,Month-to-month,44.3,2,No
0225-ZORZP,Male,0,No,Yes,Fiber optic,Month-to-month,84.3,3,No
0228-MAUWC,Male,0,No,Yes,DSL,Month-to-month,59.55,19,No
0229-LFJAF,Male,0,No,Yes,DSL,Two year,69.65,72,No
0230-UBYPQ,Male,1,Yes,No,DSL,One year,36.1,63,No
0230-WEQUW,Male,0,Yes,No,DSL,Two year,56.6,66,No
0231-LXVAP,Male,0,No,Yes,Fiber optic,Month-to-month,75.9,1,Yes
0233-FTHAV,Female,0,No,Yes,Fiber optic,One year,79.2,60,No
0234-TEVTT,Female,0,Yes,No,DSL,One year,45.0,48,No
0235-KGSLC,Female,0,No,Yes,Fiber optic,Month-to-month,85.55,1,Yes
0236-HFWSV,Male,0,No,Yes,Fiber optic,Month-to-month,93.35,15,Yes
0237-YFUTL,Female,0,Yes,Yes,Fiber optic,Month-to-month,109.65,50,No
0238-WHBIQ,Male,0,Yes,Yes,DSL,Two year,89.7,72,No
0239-OXEXL,Female,0,No,Yes,Fiber optic,Month-to-month,84.25,46,No
0244-LGNFY,Female,0,Yes,Yes,DSL,Two year,92.65,72,No
0247-SLUJI,Male,0,Yes,Yes,No,Month-to-month,19.7,1,No
0248-IPDFW,Female,0,No,Yes,DSL,Month-to-month,50.1,1,No
0248-PGHBZ,Female,1,No,Yes,Fiber optic,Two year,92.45,67,No
0253-ZTEOB,Female,0,Yes,Yes,DSL,Two year,79.65,48,No
0254-FNMCI,Female,0,No,Yes,Fiber optic,Two year,109.9,72,No
0254-KCJGT,Male,0,Yes,Yes,DSL,One year,81.4,52,No
0254-WWRKD,Female,0,Yes,Yes,DSL,One year,50.55,67,No
0256-LTHVJ,Female,0,Yes,Yes,Fiber optic,Month-to-month,81.05,28,Yes
0257-KXZGU,Female,0,Yes,Yes,DSL,Month-to-month,62.45,32,No
0257-ZESQC,Female,1,Yes,Yes,Fiber optic,Month-to-month,75.2,27,Yes
0258-NOKBL,Male,0,No,Yes,Fiber optic,Month-to-month,90.4,3,No
0259-GBZSH,Male,0,No,Yes,Fiber optic,Month-to-month,85.65,2,Yes
0260-ZDLGK,Female,0,No,Yes,DSL,Month-to-month,72.9,9,Yes
0263-FJTQO,Male,0,Yes,Yes,DSL,Two year,70.5,50,No
0264-CNITK,Female,0,Yes,Yes,No,Two year,20.1,71,No
0265-EDXBD,Male,1,Yes,Yes,Fiber optic,Month-to-month,74.9,32,Yes
0265-PSUAE,Female,0,Yes,Yes,Fiber optic,Month-to-month,100.7,16,No
0266-CLZKZ,Female,0,Yes,Yes,Fiber optic,Two year,105.65,67,No
0266-GMEAO,Male,0,Yes,Yes,Fiber optic,Two year,114.3,72,No
0268-QKIWO,Female,0,No,Yes,No,Month-to-month,19.75,3,Yes
0269-XFESX,Male,0,Yes,Yes,No,One year,24.35,23,No
0270-THENM,Male,0,Yes,Yes,DSL,Two year,69.85,72,No
0274-JKUJR,Male,0,Yes,No,DSL,Month-to-month,58.85,7,No
0277-BKSQP,Male,0,Yes,Yes,DSL,Month-to-month,54.4,8,No
0277-ORXQS,Male,0,Yes,No,DSL,Two year,50.55,66,No
0278-YXOOG,Male,0,No,Yes,No,Month-to-month,21.05,5,Yes
0280-XJGEX,Male,0,No,Yes,Fiber optic,Month-to-month,103.7,49,Yes
0281-CNTZX,Male,0,Yes,Yes,No,Two year,19.95,63,No
0282-NVSJS,Female,1,Yes,No,DSL,Month-to-month,29.3,12,No
0285-INHLN,Male,0,Yes,Yes,DSL,Month-to-month,54.75,27,No
0289-IVARM,Female,0,No,Yes,DSL,Month-to-month,60.55,35,No
0292-WEGCH,Female,0,Yes,Yes,DSL,Month-to-month,86.2,54,No
0295-PPHDO,Male,0,No,Yes,Fiber optic,Month-to-month,95.45,1,Yes
0295-QVKPB,Male,0,No,Yes,DSL,Month-to-month,63.95,5,No
0297-RBCSG,Male,0,No,Yes,DSL,One year,65.35,19,No
0298-XACET,Male,0,Yes,No,DSL,Two year,50.2,52,No
0301-FIDRB,Female,0,Yes,No,DSL,Two year,63.8,72,No
0301-KOBTQ,Male,0,No,Yes,No,Two year,20.05,32,No
0302-JOIVN,Female,0,Yes,Yes,Fiber optic,Month-to-month,101.15,8,Yes
0303-UNCIP,Male,0,No,Yes,DSL,One year,65.0,41,No
0303-WMMRN,Male,0,No,Yes,No,Month-to-month,19.25,5,No
0305-SQECB,Female,0,No,No,DSL,One year,36.05,11,No
0306-JAELE,Male,0,No,Yes,Fiber optic,Month-to-month,96.1,5,Yes
0307-BCOPK,Female,0,No,Yes,No,One year,19.05,16,No
0308-GIQJT,Male,1,No,Yes,Fiber optic,One year,105.75,71,No
0308-IVGOK,Female,0,No,No,DSL,One year,40.4,11,No
0310-MVLET,Female,0,Yes,Yes,Fiber optic,Month-to-month,99.15,61,Yes
0310-SUCIN,Female,0,Yes,Yes,DSL,One year,84.8,71,No
0310-VQXAM,Male,0,No,Yes,No,Month-to-month,19.85,9,No
0311-QYWSS,Female,0,No,Yes,DSL,Month-to-month,49.45,6,No
0311-UNPFF,Female,0,No,Yes,Fiber optic,Month-to-month,88.8,26,Yes
0314-TKOSI,Female,0,No,Yes,DSL,Month-to-month,55.15,6,No
0315-LVCRK,Male,0,No,Yes,Fiber optic,Month-to-month,84.8,11,No
0318-QUUOB,Male,0,Yes,Yes,Fiber optic,Month-to-month,80.55,1,Yes
0318-ZOPWS,Female,0,Yes,Yes,No,Two year,20.15,49,No
0319-QZTCO,Female,0,Yes,Yes,DSL,Month-to-month,58.7,3,No
0320-DWVTU,Female,0,No,Yes,Fiber optic,Two year,99.5,53,No
0320-JDNQG,Male,0,Yes,Yes,Fiber optic,Month-to-month,99.85,23,Yes
0322-CHQRU,Male,0,No,Yes,DSL,Month-to-month,45.35,2,Yes
0322-YINQP,Male,0,No,Yes,DSL,Month-to-month,48.55,1,Yes
0323-XWWTN,Male,0,No,Yes,No,Two year,26.4,3,No
0324-BRPCJ,Female,1,Yes,Yes,Fiber optic,Month-to-month,100.2,68,Yes
0325-XBFAC,Male,0,No,Yes,Fiber optic,Month-to-month,94.7,8,Yes
0326-VDYXE,Female,0,Yes,Yes,Fiber optic,One year,97.65,70,No
0327-WFZSY,Male,0,Yes,Yes,Fiber optic,One year,100.0,39,No
0328-GRPMV,Female,0,No,Yes,Fiber optic,Month-to-month,70.1,1,Yes
0329-GTIAJ,Female,0,No,Yes,Fiber optic,Month-to-month,97.9,3,Yes
0330-BGYZE,Male,0,Yes,Yes,Fiber optic,One year,102.5,60,No
0330-IVZHA,Female,0,Yes,Yes,Fiber optic,Month-to-month,69.95,5,Yes
0334-GDDSO,Male,1,No,Yes,Fiber optic,Month-to-month,81.35,3,Yes
0334-ZFJSR,Female,0,Yes,Yes,DSL,One year,66.05,55,No
0336-KXKFK,Male,0,No,No,DSL,Two year,61.2,72,No
0336-PIKEI,Male,1,Yes,Yes,DSL,Two year,74.4,72,No
0337-CNPZE,Female,0,No,Yes,Fiber optic,Month-to-month,106.3,41,Yes
0343-QLUZP,Male,0,No,No,DSL,Two year,39.6,60,No
0345-HKJVM,Female,0,No,Yes,Fiber optic,Month-to-month,89.3,6,Yes
0345-XMMUG,Female,0,Yes,Yes,Fiber optic,Two year,108.9,46,No
0347-UBKUZ,Female,0,No,Yes,No,Month-to-month,19.9,15,No
0348-SDKOL,Female,0,Yes,Yes,Fiber optic,Month-to-month,102.1,58,Yes
0354-VXMJC,Male,0,Yes,Yes,No,Two year,19.6,23,No
0354-WYROK,Female,1,Yes,Yes,Fiber optic,Month-to-month,98.9,31,Yes
0356-ERHVT,Male,0,Yes,Yes,DSL,Month-to-month,45.9,11,No
0356-OBMAC,Female,1,No,Yes,Fiber optic,Two year,99.9,56,No
0357-NVCRI,Female,0,No,Yes,No,Month-to-month,20.05,25,No
0361-HJRDX,Female,0,No,No,DSL,Two year,64.35,68,No
0362-RAOQO,Female,0,No,Yes,No,Two year,19.65,40,No
0362-ZBZWJ,Male,0,No,Yes,Fiber optic,Month-to-month,84.9,36,Yes
0363-QJVFX,Male,0,No,Yes,Fiber optic,Month-to-month,108.15,32,Yes
0363-SVHYR,Male,0,Yes,Yes,DSL,Two year,86.85,71,No
0365-BZUWY,Male,0,Yes,Yes,Fiber optic,Month-to-month,102.55,17,No
0365-GXEZS,Male,0,Yes,Yes,Fiber optic,Month-to-month,78.2,18,No
0365-TRTPY,Female,0,No,Yes,Fiber optic,Month-to-month,91.2,37,No
0366-NQSHS,Male,0,No,Yes,No,Month-to-month,19.35,2,No
0369-ZGOVK,Female,0,Yes,Yes,Fiber optic,One year,70.4,28,No
0373-AIVNJ,Male,0,No,No,DSL,One year,39.55,9,No
0374-AACSZ,Female,0,No,Yes,DSL,Month-to-month,50.15,1,No
0374-FIUCA,Male,0,Yes,Yes,No,Two year,20.4,65,No
0374-IOEGQ,Female,0,No,Yes,DSL,Month-to-month,44.6,3,No
0375-HVGXO,Female,0,No,No,DSL,Month-to-month,34.7,1,Yes
0376-OIWME,Male,0,Yes,Yes,Fiber optic,Month-to-month,93.6,36,No
0376-YMCJC,Male,0,No,Yes,Fiber optic,Month-to-month,90.6,23,Yes
0377-JBKKT,Male,0,Yes,Yes,DSL,Month-to-month,57.95,22,No
0378-CJKPV,Female,0,Yes,Yes,Fiber optic,Two year,112.1,72,No
0378-NHQXU,Female,0,Yes,Yes,Fiber optic,Month-to-month,88.25,17,Yes
0378-TOVMS,Female,0,No,Yes,Fiber optic,Month-to-month,85.8,3,Yes
0378-XSZPU,Male,0,Yes,Yes,DSL,One year,60.3,58,Yes
0379-DJQHR,Male,0,Yes,Yes,DSL,Two year,81.35,67,No
0380-NEAVX,Male,1,No,Yes,Fiber optic,One year,99.85,34,No
0380-ZCSBI,Male,0,No,Yes,No,Month-to-month,20.0,10,No
0383-CLDDA,Female,0,No,Yes,DSL,Two year,85.35,69,No
0384-LPITE,Male,0,No,No,DSL,One year,62.05,40,No
0384-RVBPI,Male,0,No,Yes,DSL,Month-to-month,64.4,20,No
0386-CWRGM,Female,0,Yes,Yes,No,Two year,19.4,46,No
0388-EOPEX,Female,0,Yes,Yes,Fiber optic,Month-to-month,74.4,2,Yes
0390-DCFDQ,Female,1,Yes,Yes,Fiber optic,Month-to-month,70.45,1,Yes
0392-BZIUW,Female,0,Yes,Yes,Fiber optic,Two year,105.0,72,No
0394-YONDK,Male,0,Yes,Yes,No,Two year,25.15,70,No
0396-HUJBP,Female,0,No,Yes,No,Month-to-month,19.3,2,No
0396-UKGAI,Male,0,No,Yes,DSL,Month-to-month,55.3,23,No
0396-YCHWO,Male,0,Yes,Yes,Fiber optic,Month-to-month,95.4,36,No
0397-GZBBC,Male,1,Yes,Yes,Fiber optic,Month-to-month,93.85,59,Yes
0397-ZXWQF,Male,0,No,Yes,No,Two year,20.5,67,No
0401-WDBXM,Male,0,Yes,Yes,Fiber optic,Two year,105.55,72,No
0402-CQAJN,Female,0,No,Yes,Fiber optic,Month-to-month,101.9,37,Yes
0402-OAMEN,Female,0,Yes,Yes,No,Two year,24.45,72,No
0404-AHASP,Male,0,Yes,Yes,No,Two year,19.7,72,No
0404-SWRVG,Male,0,No,Yes,Fiber optic,Month-to-month,74.4,3,Yes
0406-BPDVR,Female,1,Yes,Yes,Fiber optic,One year,101.5,54,Yes
0407-BDJKB,Male,0,Yes,Yes,Fiber optic,Month-to-month,95.75,60,Yes
0409-WTMPL,Female,0,Yes,Yes,Fiber optic,One year,110.65,58,No
0410-IPFTY,Female,0,Yes,Yes,Fiber optic,Month-to-month,83.85,31,No
0411-EZJZE,Female,0,No,Yes,DSL,Month-to-month,60.25,3,No
0412-UCCNP,Male,0,No,Yes,DSL,Two year,59.2,55,No
0415-MOSGF,Female,0,No,Yes,DSL,Month-to-month,44.4,1,Yes
0419-YAAPX,Male,0,Yes,Yes,Fiber optic,Month-to-month,85.3,49,No
0420-BWTPW,Male,0,No,No,DSL,Month-to-month,25.5,8,Yes
0420-HLGXF,Female,1,No,Yes,Fiber optic,Month-to-month,99.75,39,No
0420-TXVSG,Male,0,Yes,Yes,DSL,Two year,66.1,66,No
0422-OHQHQ,Female,0,Yes,Yes,No,One year,20.55,15,No
0422-UXFAP,Female,0,Yes,Yes,Fiber optic,One year,98.85,51,No
0423-UDIJQ,Male,1,No,Yes,DSL,Month-to-month,49.2,9,No
0426-TIRNE,Female,0,No,Yes,No,Month-to-month,20.9,1,Yes
0428-AXXLJ,Male,0,No,Yes,No,One year,19.5,25,No
0428-IKYCP,Male,0,Yes,Yes,Fiber optic,Month-to-month,87.0,22,No
0430-IHCDJ,Male,0,No,Yes,DSL,Month-to-month,49.0,15,No
0431-APWVY,Female,0,Yes,Yes,Fiber optic,One year,90.1,28,Yes
0432-CAJZV,Male,0,No,Yes,Fiber optic,Month-to-month,90.7,3,No
0434-CSFON,Female,0,Yes,Yes,Fiber optic,Month-to-month,100.5,47,No
0436-TWFFZ,Female,0,No,Yes,DSL,Two year,85.25,67,No
0439-IFYUN,Female,1,No,Yes,Fiber optic,Month-to-month,74.7,18,No
0440-EKDCF,Male,0,Yes,Yes,DSL,Two year,60.15,62,No
0440-MOGPM,Female,0,No,Yes,DSL,One year,80.55,41,No
0440-QEXBZ,Female,0,No,Yes,DSL,Month-to-month,50.15,44,No
0440-UEDAI,Female,0,No,Yes,Fiber optic,One year,94.45,53,No
0442-TDYUO,Male,0,Yes,Yes,No,Two year,20.05,48,No
0442-ZXKVS,Female,1,Yes,Yes,Fiber optic,One year,115.6,54,No
0447-BEMNG,Female,0,Yes,No,DSL,Month-to-month,45.3,48,Yes
0447-RXSGD,Male,0,No,Yes,Fiber optic,Month-to-month,99.65,24,No
0454-OKRCT,Male,0,No,Yes,Fiber optic,Two year,80.6,33,No
0455-ENTCR,Male,0,Yes,Yes,DSL,Two year,85.25,66,No
0455-XFASS,Female,0,Yes,Yes,Fiber optic,Month-to-month,69.55,3,No
0458-HEUZG,Female,0,No,No,DSL,Two year,35.4,13,No
0459-SPZHJ,Male,0,Yes,Yes,DSL,Two year,83.5,63,No
0461-CVKMU,Female,0,Yes,Yes,Fiber optic,Month-to-month,83.8,23,Yes
0463-TXOAK,Male,0,No,Yes,No,Two year,25.6,52,No
0463-WZZKO,Male,0,No,Yes,No,Month-to-month,20.75,3,No
0463-ZSDNT,Male,0,No,Yes,DSL,Month-to-month,56.75,10,No
0464-WJTKO,Female,0,Yes,Yes,No,Two year,20.1,72,No
0468-YRPXN,Male,0,No,Yes,Fiber optic,Month-to-month,98.8,29,No
0471-ARVMX,Female,1,Yes,Yes,Fiber optic,One year,104.85,62,No
0471-LVHGK,Male,0,Yes,Yes,DSL,One year,73.0,41,Yes
0475-RIJEP,Male,0,No,Yes,Fiber optic,Month-to-month,77.85,43,Yes
0479-HMSWA,Female,0,No,Yes,Fiber optic,Two year,105.45,26,No
0480-BIXDE,Female,0,Yes,Yes,Fiber optic,Month-to-month,96.8,19,No
0480-KYJVA,Female,0,Yes,Yes,No,Two year,24.25,72,No
0481-SUMCB,Female,1,No,Yes,Fiber optic,One year,102.15,45,No
0484-FFVBJ,Male,0,No,Yes,DSL,One year,64.85,32,No
0484-JPBRU,Male,0,No,Yes,No,Month-to-month,25.25,41,No
0485-ZBSLN,Male,0,Yes,Yes,No,Two year,24.75,65,No
0486-HECZI,Male,0,Yes,Yes,Fiber optic,Month-to-month,96.75,55,Yes
0486-LGCCH,Male,0,Yes,Yes,No,Two year,19.65,11,No
0487-CRLZF,Female,0,No,Yes,DSL,Two year,74.45,49,No
0487-RPVUM,Male,0,Yes,Yes,Fiber optic,Month-to-month,99.4,61,No
0487-VVUVK,Male,0,Yes,Yes,No,Month-to-month,19.15,25,No
0488-GSLFR,Female,0,No,Yes,Fiber optic,Month-to-month,69.5,1,Yes
0489-WMEMG,Female,0,No,Yes,DSL,One year,49.45,23,No
0491-KAPQG,Male,0,No,Yes,Fiber optic,Month-to-month,73.7,21,No
0495-RVCBF,Female,0,No,Yes,Fiber optic,Month-to-month,79.7,1,Yes
0495-ZBNGW,Male,1,Yes,Yes,Fiber optic,Month-to-month,79.9,5,Yes
0496-AHOOK,Male,0,Yes,Yes,DSL,One year,74.4,24,No
0504-HHAPI,Female,1,No,Yes,Fiber optic,Month-to-month,88.3,27,Yes
0505-SPOOW,Female,0,Yes,Yes,No,Two year,19.8,70,No
0506-LVNGN,Female,1,No,Yes,Fiber optic,Month-to-month,75.55,5,Yes
0506-YLVKJ,Male,0,Yes,Yes,No,Two year,20.2,46,No
0508-OOLTO,Female,0,Yes,Yes,Fiber optic,Month-to-month,71.65,2,No
0508-SQWPL,Female,0,Yes,Yes,No,Two year,20.1,57,No
0511-JTEOY,Female,0,No,Yes,Fiber optic,Month-to-month,71.1,1,Yes
0512-FLFDW,Female,1,Yes,Yes,Fiber optic,One year,100.5,60,No
0513-RBGPE,Male,0,Yes,Yes,DSL,Two year,62.8,37,No
0515-YPMCW,Male,0,No,Yes,Fiber optic,Month-to-month,70.45,1,Yes
